skills,interests,education,recommended_career,skills_mapped
"tableau, kubernetes, deep learning, computer vision",,bachelor,ml ops engineer,computer vision;deep learning;kubernetes;tableau
"deep learning, r, pytorch, scala",,master,data scientist,deep learning;pytorch;r;scala
"spark, hadoop, deep learning, java, r",,phd,machine learning engineer,deep learning;hadoop;java;r;spark
"scala, linux, sql, nlp",,associate,ai architect,linux;nlp;scala;sql
"docker, python, data visualization, mathematics",,master,ai architect,data visualization;docker;mathematics;python
"data visualization, tensorflow, pytorch, gcp, aws",,associate,nlp engineer,aws;data visualization;gcp;pytorch;tensorflow
"hadoop, gcp, nlp, scala",,associate,ai specialist,gcp;hadoop;nlp;scala
"linux, computer vision, aws, pytorch",,phd,autonomous systems engineer,aws;computer vision;linux;pytorch
"deep learning, statistics, tensorflow, python, azure",,master,research scientist,azure;deep learning;python;statistics;tensorflow
"java, python, tensorflow",,bachelor,autonomous systems engineer,java;python;tensorflow
"tableau, mathematics, linux, tensorflow",,master,data engineer,linux;mathematics;tableau;tensorflow
"deep learning, pytorch, mathematics, docker, tensorflow",,associate,ai research scientist,deep learning;docker;mathematics;pytorch;tensorflow
"python, kubernetes, nlp, scala",,master,ml ops engineer,kubernetes;nlp;python;scala
"r, pytorch, docker, deep learning, gcp",,bachelor,research scientist,deep learning;docker;gcp;pytorch;r
"pytorch, git, r, spark, tensorflow",,phd,deep learning engineer,git;pytorch;r;spark;tensorflow
"aws, nlp, scala, pytorch",,master,data scientist,aws;nlp;pytorch;scala
"nlp, aws, scala",,associate,ai software engineer,aws;nlp;scala
"git, hadoop, python, mlops, docker",,associate,data engineer,docker;git;hadoop;mlops;python
"kubernetes, sql, nlp, git, deep learning",,phd,data analyst,deep learning;git;kubernetes;nlp;sql
"nlp, hadoop, azure",,phd,ai research scientist,azure;hadoop;nlp
"java, azure, python",,associate,deep learning engineer,azure;java;python
"hadoop, deep learning, linux, statistics, java",,bachelor,ai specialist,deep learning;hadoop;java;linux;statistics
"python, linux, tableau, mlops",,associate,ai consultant,linux;mlops;python;tableau
"deep learning, sql, r, statistics, gcp",,phd,computer vision engineer,deep learning;gcp;r;sql;statistics
"linux, gcp, scala, mlops, git",,associate,ml ops engineer,gcp;git;linux;mlops;scala
"sql, docker, kubernetes, scala, pytorch",,phd,data engineer,docker;kubernetes;pytorch;scala;sql
"python, tensorflow, java, data visualization",,phd,ai specialist,data visualization;java;python;tensorflow
"tableau, pytorch, hadoop, tensorflow, kubernetes",,bachelor,ai consultant,hadoop;kubernetes;pytorch;tableau;tensorflow
"mathematics, spark, r",,phd,data analyst,mathematics;r;spark
"gcp, kubernetes, r, python, mlops",,associate,principal data scientist,gcp;kubernetes;mlops;python;r
"tensorflow, mathematics, sql, deep learning",,bachelor,ai research scientist,deep learning;mathematics;sql;tensorflow
"aws, sql, deep learning, mlops, git",,bachelor,head of ai,aws;deep learning;git;mlops;sql
"hadoop, kubernetes, aws, java",,master,ai consultant,aws;hadoop;java;kubernetes
"computer vision, hadoop, kubernetes, azure, linux",,bachelor,robotics engineer,azure;computer vision;hadoop;kubernetes;linux
"data visualization, java, python, computer vision, docker",,master,ai software engineer,computer vision;data visualization;docker;java;python
"mlops, gcp, r, java, deep learning",,bachelor,nlp engineer,deep learning;gcp;java;mlops;r
"sql, aws, data visualization, scala",,master,head of ai,aws;data visualization;scala;sql
"python, git, data visualization, tableau, sql",,bachelor,ml ops engineer,data visualization;git;python;sql;tableau
"git, sql, docker, gcp, aws",,phd,research scientist,aws;docker;gcp;git;sql
"deep learning, pytorch, sql, tableau, gcp",,phd,principal data scientist,deep learning;gcp;pytorch;sql;tableau
"kubernetes, computer vision, tensorflow, docker, azure",,bachelor,head of ai,azure;computer vision;docker;kubernetes;tensorflow
"python, r, tableau",,associate,ai consultant,python;r;tableau
"tensorflow, docker, python",,bachelor,robotics engineer,docker;python;tensorflow
"java, scala, mlops, computer vision",,bachelor,ml ops engineer,computer vision;java;mlops;scala
"python, deep learning, tableau, mlops",,bachelor,head of ai,deep learning;mlops;python;tableau
"gcp, scala, java, data visualization, python",,associate,data analyst,data visualization;gcp;java;python;scala
"tableau, linux, docker, git",,associate,autonomous systems engineer,docker;git;linux;tableau
"python, kubernetes, git, java, tensorflow",,master,ai research scientist,git;java;kubernetes;python;tensorflow
"java, sql, data visualization, kubernetes",,associate,computer vision engineer,data visualization;java;kubernetes;sql
"r, mlops, tensorflow",,associate,nlp engineer,mlops;r;tensorflow
"r, pytorch, nlp, aws",,phd,machine learning engineer,aws;nlp;pytorch;r
"nlp, r, git",,bachelor,ai software engineer,git;nlp;r
"computer vision, statistics, tableau, scala",,bachelor,nlp engineer,computer vision;scala;statistics;tableau
"python, tensorflow, computer vision, pytorch",,master,nlp engineer,computer vision;python;pytorch;tensorflow
"r, computer vision, spark, python",,master,nlp engineer,computer vision;python;r;spark
"deep learning, computer vision, spark, azure",,associate,data scientist,azure;computer vision;deep learning;spark
"azure, git, scala, mathematics",,phd,data scientist,azure;git;mathematics;scala
"tensorflow, r, mathematics, scala, computer vision",,associate,ai consultant,computer vision;mathematics;r;scala;tensorflow
"kubernetes, azure, git",,phd,machine learning engineer,azure;git;kubernetes
"kubernetes, python, tableau, mlops",,bachelor,robotics engineer,kubernetes;mlops;python;tableau
"r, git, linux, scala",,bachelor,robotics engineer,git;linux;r;scala
"r, sql, aws, spark",,bachelor,autonomous systems engineer,aws;r;spark;sql
"python, aws, nlp, computer vision",,bachelor,research scientist,aws;computer vision;nlp;python
"pytorch, java, statistics, aws",,bachelor,robotics engineer,aws;java;pytorch;statistics
"python, spark, tableau, mathematics",,bachelor,ai consultant,mathematics;python;spark;tableau
"mlops, pytorch, tensorflow, deep learning",,bachelor,data engineer,deep learning;mlops;pytorch;tensorflow
"pytorch, python, computer vision, gcp",,associate,ai architect,computer vision;gcp;python;pytorch
"tableau, azure, linux, aws, kubernetes",,bachelor,deep learning engineer,aws;azure;kubernetes;linux;tableau
"statistics, nlp, scala, data visualization",,associate,principal data scientist,data visualization;nlp;scala;statistics
"mathematics, git, nlp",,bachelor,computer vision engineer,git;mathematics;nlp
"python, tensorflow, gcp, java",,phd,machine learning engineer,gcp;java;python;tensorflow
"tableau, computer vision, azure, deep learning, sql",,associate,machine learning researcher,azure;computer vision;deep learning;sql;tableau
"git, python, nlp",,associate,principal data scientist,git;nlp;python
"nlp, sql, scala, computer vision",,master,ai research scientist,computer vision;nlp;scala;sql
"hadoop, tableau, python, data visualization, azure",,bachelor,robotics engineer,azure;data visualization;hadoop;python;tableau
"pytorch, aws, tableau, hadoop, statistics",,bachelor,nlp engineer,aws;hadoop;pytorch;statistics;tableau
"tensorflow, pytorch, scala, tableau, sql",,master,head of ai,pytorch;scala;sql;tableau;tensorflow
"sql, deep learning, docker",,associate,ai software engineer,deep learning;docker;sql
"tableau, python, nlp",,associate,ai consultant,nlp;python;tableau
"python, docker, gcp",,associate,deep learning engineer,docker;gcp;python
"pytorch, linux, kubernetes, spark, data visualization",,phd,ml ops engineer,data visualization;kubernetes;linux;pytorch;spark
"gcp, aws, computer vision",,bachelor,deep learning engineer,aws;computer vision;gcp
"tensorflow, computer vision, kubernetes, mathematics",,master,data engineer,computer vision;kubernetes;mathematics;tensorflow
"azure, git, kubernetes, pytorch",,phd,robotics engineer,azure;git;kubernetes;pytorch
"python, linux, scala",,master,head of ai,linux;python;scala
"tensorflow, data visualization, python, nlp, gcp",,master,ai research scientist,data visualization;gcp;nlp;python;tensorflow
"deep learning, computer vision, java, python",,associate,nlp engineer,computer vision;deep learning;java;python
"python, gcp, mlops, docker, scala",,associate,ai consultant,docker;gcp;mlops;python;scala
"python, kubernetes, tensorflow, java",,associate,ai software engineer,java;kubernetes;python;tensorflow
"mlops, hadoop, linux, deep learning, computer vision",,associate,ai consultant,computer vision;deep learning;hadoop;linux;mlops
"python, kubernetes, tensorflow, computer vision, gcp",,master,robotics engineer,computer vision;gcp;kubernetes;python;tensorflow
"azure, linux, kubernetes",,associate,data engineer,azure;kubernetes;linux
"scala, r, gcp, sql, nlp",,associate,deep learning engineer,gcp;nlp;r;scala;sql
"scala, python, mlops, gcp, docker",,master,computer vision engineer,docker;gcp;mlops;python;scala
"scala, linux, computer vision, java, nlp",,bachelor,data scientist,computer vision;java;linux;nlp;scala
"linux, computer vision, docker",,phd,ai research scientist,computer vision;docker;linux
"pytorch, computer vision, tableau, nlp, docker",,bachelor,ai research scientist,computer vision;docker;nlp;pytorch;tableau
"scala, sql, deep learning, computer vision",,phd,ai product manager,computer vision;deep learning;scala;sql
"linux, pytorch, hadoop",,associate,principal data scientist,hadoop;linux;pytorch
"gcp, python, nlp",,phd,ai research scientist,gcp;nlp;python
"git, tensorflow, kubernetes, gcp",,associate,ai software engineer,gcp;git;kubernetes;tensorflow
"python, kubernetes, docker, deep learning, spark",,associate,robotics engineer,deep learning;docker;kubernetes;python;spark
"hadoop, deep learning, python",,associate,ai software engineer,deep learning;hadoop;python
"deep learning, data visualization, pytorch",,master,ai software engineer,data visualization;deep learning;pytorch
"git, java, computer vision, linux",,master,computer vision engineer,computer vision;git;java;linux
"linux, tensorflow, data visualization, python",,master,data analyst,data visualization;linux;python;tensorflow
"git, aws, scala",,associate,robotics engineer,aws;git;scala
"statistics, r, pytorch, spark, tableau",,phd,ai software engineer,pytorch;r;spark;statistics;tableau
"tensorflow, mlops, git, sql",,phd,data analyst,git;mlops;sql;tensorflow
"java, deep learning, linux, git",,bachelor,ml ops engineer,deep learning;git;java;linux
"scala, hadoop, python, tensorflow, aws",,associate,computer vision engineer,aws;hadoop;python;scala;tensorflow
"azure, r, docker",,bachelor,principal data scientist,azure;docker;r
"docker, python, kubernetes, mlops, tensorflow",,associate,robotics engineer,docker;kubernetes;mlops;python;tensorflow
"tensorflow, nlp, python",,master,autonomous systems engineer,nlp;python;tensorflow
"mathematics, statistics, data visualization",,master,ai software engineer,data visualization;mathematics;statistics
"nlp, linux, r, git",,master,ai research scientist,git;linux;nlp;r
"python, gcp, tensorflow, pytorch, hadoop",,master,ai specialist,gcp;hadoop;python;pytorch;tensorflow
"linux, pytorch, nlp",,master,research scientist,linux;nlp;pytorch
"java, tableau, linux, kubernetes, statistics",,associate,machine learning researcher,java;kubernetes;linux;statistics;tableau
"python, java, r",,bachelor,head of ai,java;python;r
"tableau, tensorflow, linux",,bachelor,ai research scientist,linux;tableau;tensorflow
"python, tableau, kubernetes, r",,master,data engineer,kubernetes;python;r;tableau
"sql, java, azure, mlops",,phd,principal data scientist,azure;java;mlops;sql
"spark, python, scala, statistics, sql",,associate,computer vision engineer,python;scala;spark;sql;statistics
"git, scala, tensorflow",,phd,computer vision engineer,git;scala;tensorflow
"docker, python, nlp, git, spark",,associate,ai research scientist,docker;git;nlp;python;spark
"git, kubernetes, azure, python",,master,ai software engineer,azure;git;kubernetes;python
"mlops, git, data visualization, gcp, docker",,associate,ai consultant,data visualization;docker;gcp;git;mlops
"linux, python, tensorflow, kubernetes, spark",,associate,ai product manager,kubernetes;linux;python;spark;tensorflow
"computer vision, hadoop, data visualization, python, tensorflow",,associate,machine learning engineer,computer vision;data visualization;hadoop;python;tensorflow
"kubernetes, python, tensorflow, java",,master,principal data scientist,java;kubernetes;python;tensorflow
"data visualization, java, gcp",,bachelor,machine learning engineer,data visualization;gcp;java
"kubernetes, r, azure, deep learning, tableau",,phd,nlp engineer,azure;deep learning;kubernetes;r;tableau
"hadoop, python, scala, docker",,master,ai product manager,docker;hadoop;python;scala
"sql, azure, nlp, scala, aws",,phd,robotics engineer,aws;azure;nlp;scala;sql
"kubernetes, sql, statistics, computer vision, scala",,phd,computer vision engineer,computer vision;kubernetes;scala;sql;statistics
"python, sql, tableau, hadoop",,associate,ai product manager,hadoop;python;sql;tableau
"java, spark, hadoop, gcp",,bachelor,nlp engineer,gcp;hadoop;java;spark
"gcp, hadoop, tableau, azure",,associate,machine learning engineer,azure;gcp;hadoop;tableau
"computer vision, linux, docker, sql",,associate,ai specialist,computer vision;docker;linux;sql
"scala, mathematics, nlp",,phd,machine learning researcher,mathematics;nlp;scala
